hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,subethnic_modal
0091500,15,7,0,50000.0,500000.0,13.122365377402328,4.0,1.0,False,True,False,0.0,13.122365377402328,5,0.3333333333333333,3070984.1666666665,14.93750896927996,204732.27777777775,12.22946332696502,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091531,7,3,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,1,0.1428571428571428,4819061.666666667,15.388089999618986,688437.380952381,13.4421810956183,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091600,7,5,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,3,0.4285714285714285,2365176.6666666665,14.67636370041284,337882.38095238095,12.730456088161622,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091641,4,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2325520.0,14.659454657921575,581380.0,13.273161586834355,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091700,8,7,0,500000.0,500000.0,13.122365377402328,4.0,1.0,False,True,False,0.0,13.122365377402328,5,0.625,2476855.0,14.722500571941069,309606.875,12.64306185642073,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091741,4,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,6519836.666666667,15.690360035842373,1629959.1666666667,14.30406613485653,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091751,1,0,0,0.0,0.0,0.0,4.0,1.0,False,True,False,,0.0,0,0.0,2982360.0,14.90822582667117,2982360.0,14.90822582667117,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091752,3,1,1,0.0,0.0,0.0,4.0,1.0,False,True,False,1.0,0.0,0,0.0,1315530.0,14.08975094436917,438510.0,12.991140175998552,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091800,6,5,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,3,0.5,2416188.333333333,14.69770220141227,402698.0555555556,12.905944801556329,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091831,7,4,0,0.0,100000.0,11.51293546492023,4.0,1.0,False,True,False,0.0,11.51293546492023,2,0.2857142857142857,2263210.0,14.632295159332374,323315.71428571426,12.686387661374129,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091832,6,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,1661353.3333333333,14.323143691150864,276892.2222222222,12.531387231511056,2.0,12.0,10.0,0,Diaspora-Christian-Batak
0091900,8,7,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,5,0.625,1428290.0,14.17198918263364,178536.25,12.092552541903853,2.0,12.0,10.0,0,Diaspora-Christian-Batak
