hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,kmeans_cluster,ward_cluster
1881600,5,4,0,300000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,2,0.4,2139656.0,14.57615609377793,427931.2,12.9667200508006,1.0,33.0,72.0,1,3,0
1881800,8,6,0,450000.0,50000.0,10.819798284210286,1.0,1.0,False,False,True,0.0,10.819798284210286,4,0.5,1731045.8333333333,14.364236889444188,216380.72916666663,12.284799391552026,1.0,33.0,72.0,1,4,4
1881900,7,6,0,5400000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.0,13.122365377402328,4,0.5714285714285714,2124703.333333333,14.569143213405267,303529.04761904763,12.62323588826829,1.0,33.0,72.0,1,4,4
1881941,3,2,0,500000.0,2100000.0,14.557448378884017,1.0,1.0,False,False,True,0.0,14.557448378884017,0,0.0,2295335.0,14.64638979598934,765111.6666666666,13.547778378652978,1.0,33.0,10.0,1,1,1
1882000,5,3,0,200000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.2,1878408.0,14.445935699916191,375681.6,12.836499916941513,1.0,33.0,72.0,1,0,0
1890300,6,4,0,250000.0,1050000.0,13.864301674514206,1.0,1.0,False,False,True,0.0,13.864301674514206,2,0.3333333333333333,1151193.3333333333,13.956310512143366,191865.55555555556,12.164555386221211,1.0,33.0,72.0,1,4,1
1890331,2,1,0,0.0,1000000.0,13.815511557963774,1.0,1.0,False,False,True,0.0,13.815511557963774,0,0.0,1732519.1666666667,14.36508765019009,866259.5833333334,13.671941046823836,1.0,33.0,72.0,1,1,1
1890351,2,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2791436.6666666665,14.842067313791915,1395718.3333333333,14.148920491470248,1.0,33.0,72.0,1,0,3
1891100,6,5,0,0.0,150000.0,11.918397239722838,1.0,1.0,False,False,True,0.0,11.918397239722838,3,0.5,2799320.6666666665,14.844887683890514,466553.4444444445,13.053130000807863,1.0,33.0,72.0,1,4,4
1891241,5,4,0,2000000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,2,0.4,1976428.3333333333,14.496802407643498,395285.6666666666,12.887366519059118,2.0,33.0,13.0,0,3,0
1891300,11,8,0,1190000.0,3320000.0,15.015475642097446,1.0,1.0,False,False,True,0.0,15.015475642097446,6,0.5454545454545454,699781.6666666666,13.458525089627354,63616.515151515145,11.060644106877918,1.0,33.0,72.0,1,4,4
1891311,7,6,0,1000000.0,800000.0,13.592368256649284,1.0,1.0,False,False,True,0.0,13.592368256649284,4,0.5714285714285714,5909283.333333333,15.59203528785915,844183.3333333333,13.6461261541547,1.0,33.0,11.0,1,4,4
1891333,10,9,1,0.0,0.0,0.0,1.0,0.9,False,False,True,0.1111111111111111,0.0,7,0.7,1637595.0,14.308739870727308,163759.5,12.006160273579166,1.0,33.0,13.0,1,3,0
1891341,3,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,1438690.0,14.179244230358098,479563.3333333333,13.080633331841598,1.0,33.0,72.0,1,0,3
1891500,8,6,2,9410000.0,3700000.0,15.123843647884687,1.0,1.0,False,False,True,0.3333333333333333,15.123843647884687,4,0.5,1876135.3333333333,14.444725078260324,234516.91666666663,12.365287267645664,1.0,33.0,72.0,1,4,4
1891541,4,1,0,0.0,4000000.0,15.201805169084134,1.0,1.0,False,False,True,0.0,15.201805169084134,0,0.0,3348625.0,15.024060670413308,837156.25,13.637767205182852,1.0,33.0,72.0,1,1,1
1891552,2,1,0,100000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2604485.0,14.772745900840976,1302242.5,14.079599104233877,1.0,33.0,13.0,1,0,3
1891600,4,3,0,300000.0,1250000.0,14.038654909278163,1.0,1.0,False,False,True,0.0,14.038654909278163,1,0.25,813650.0,13.609286806117684,203412.5,12.22299613207551,1.0,33.0,72.0,1,1,1
1891631,8,6,0,500000.0,6000000.0,15.607270193858982,1.0,1.0,False,False,True,0.0,15.607270193858982,4,0.5,3006038.333333333,14.91613393415068,375754.7916666667,12.836694721113645,1.0,33.0,72.0,1,4,4
1891632,4,2,1,0.0,0.0,0.0,1.0,1.0,False,False,True,0.5,0.0,0,0.0,2265913.333333333,14.63348891461862,566478.3333333334,13.247195877466703,1.0,33.0,11.0,1,2,0
1891800,9,4,1,6360000.0,700000.0,13.45883704259595,1.0,1.0,False,False,True,0.25,13.45883704259595,2,0.2222222222222222,1836910.0,14.423595914466162,204101.11111111112,12.226375692257973,1.0,33.0,72.0,1,1,1
1891900,4,4,1,500000.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.25,12.611541086966117,2,0.5,1419510.0,14.165823004072603,354877.5,12.779530756354324,1.0,33.0,72.0,1,4,4
1900200,9,6,0,200000.0,1720000.0,14.357835430184815,1.0,1.0,False,False,True,0.0,14.357835430184815,4,0.4444444444444444,1051900.0,13.866109561387622,116877.77777777778,11.668892589300928,1.0,33.0,72.0,1,4,1
1900232,5,3,1,1200000.0,2100000.0,14.557448378884017,1.0,1.0,False,False,True,0.3333333333333333,14.557448378884017,1,0.2,3771293.3333333335,15.142928824993426,754258.6666666667,13.533491973202576,1.0,35.0,78.0,1,1,1
1900251,5,4,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,2,0.4,3432648.333333333,15.048842921383184,686529.6666666667,13.4394061742291,1.0,33.0,72.0,1,3,0
1900300,9,8,0,0.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.0,12.611541086966117,6,0.6666666666666666,1263200.8333333333,14.049160193263027,140355.64814814815,11.85194194901979,2.0,33.0,12.0,0,4,4
1900400,8,7,1,500000.0,0.0,0.0,1.0,1.0,False,False,True,0.1428571428571428,0.0,5,0.625,5477929.666666667,15.51623797203771,684741.2083333334,13.436797708211856,1.0,33.0,11.0,1,3,0
1900500,16,13,3,4200000.0,600000.0,13.304686600863562,1.0,1.0,False,False,True,0.2307692307692307,13.304686600863562,11,0.6875,1834303.3333333333,14.422175857690393,114643.95833333331,11.649595312904262,1.0,33.0,72.0,1,4,4
1900532,5,3,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.2,5187815.0,15.461823357328456,1037563.0,13.852386215931428,1.0,33.0,74.0,1,0,0
1900542,3,3,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.3333333333333333,,,,,1.0,33.0,13.0,1,3,0
1900543,4,3,0,100000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.25,4133839.0,15.234717315039925,1033459.75,13.848423679637262,1.0,33.0,10.0,1,0,0
1900800,17,13,1,50000.0,1420000.0,14.166168133802548,1.0,1.0,False,False,True,0.0769230769230769,14.166168133802548,11,0.6470588235294118,1859358.3333333333,14.435742541910326,109374.01960784312,11.602537802931607,1.0,33.0,11.0,1,4,4
1900831,4,3,2,0.0,100000.0,11.51293546492023,1.0,1.0,False,False,True,0.6666666666666666,11.51293546492023,1,0.25,2653561.6666666665,14.791413697578216,663390.4166666666,13.405120467013235,1.0,33.0,13.0,1,2,1
1900832,4,2,1,0.0,400000.0,12.899222326086994,1.0,1.0,False,False,True,0.5,12.899222326086994,0,0.0,1323692.3333333333,14.095936367301276,330923.0833333333,12.70964427256479,1.0,33.0,72.0,1,1,1
1900852,2,2,1,0.0,0.0,0.0,1.0,1.0,False,False,True,0.5,0.0,0,0.0,2283636.6666666665,14.64128019736022,1141818.3333333333,13.948133454698016,1.0,33.0,11.0,1,2,0
1900900,13,7,0,950000.0,500000.0,13.122365377402328,1.0,0.9,False,False,True,0.0,13.122365377402328,5,0.3846153846153846,2268406.6666666665,14.63458867488471,174492.8205128205,12.0696446074636,1.0,33.0,72.0,1,4,1
1900911,2,2,1,300000.0,0.0,0.0,1.0,1.0,False,False,True,0.5,0.0,0,0.0,1266446.6666666667,14.051726426343643,633223.3333333334,13.35858003539359,1.0,33.0,72.0,1,2,0
1900931,4,2,0,600000.0,2000000.0,14.508658238524095,1.0,1.0,False,False,True,0.0,14.508658238524095,0,0.0,3319318.333333333,15.01527029979286,829829.5833333334,13.628976842472316,1.0,33.0,11.0,1,1,1
1900951,2,1,1,500000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,1.0,13.122365377402328,0,0.0,4789001.666666667,15.38183273615622,2394500.833333333,14.688685764407996,1.0,33.0,72.0,1,2,2
1901000,11,11,1,1000000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.0909090909090909,13.122365377402328,9,0.8181818181818182,5913820.0,15.592802711773835,537620.0,13.194909129928158,1.0,33.0,72.0,1,4,4
1901200,9,3,0,1000000.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,0.0,13.122365377402328,1,0.1111111111111111,5421153.333333333,15.505819327369291,602350.3703703703,13.308596225732456,2.0,33.0,11.0,0,1,1
1901251,3,1,1,0.0,500000.0,13.122365377402328,1.0,1.0,False,False,True,1.0,13.122365377402328,0,0.0,3137248.333333333,14.9588569654722,1045749.4444444444,13.860245314305018,1.0,33.0,72.0,1,2,2
1901300,13,11,0,2580000.0,1700000.0,14.346139397261563,1.0,1.0,False,False,True,0.0,14.346139397261563,9,0.6923076923076923,391736.6666666667,12.878347677059416,30133.589743589742,10.313428951873576,1.0,33.0,72.0,1,4,4
1901343,2,1,0,200000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2312006.6666666665,14.653626824801202,1156003.3333333333,13.96048007676568,1.0,33.0,72.0,1,0,3
1901351,5,2,1,5300000.0,300000.0,12.611541086966117,1.0,1.0,False,False,True,0.5,12.611541086966117,0,0.0,7958668.333333333,15.889772374667013,1591733.6666666665,14.280334964829366,1.0,33.0,72.0,1,1,1
1901600,11,9,3,1300000.0,1000000.0,13.815511557963774,1.0,0.6363636363636364,True,False,True,0.3333333333333333,13.815511557963774,7,0.6363636363636364,5836120.0,15.579576921788906,530556.3636363636,13.18168336245594,1.0,33.0,72.0,1,4,4
1901651,3,1,0,500000.0,200000.0,12.206077645517674,1.0,1.0,False,False,True,0.0,12.206077645517674,0,0.0,3230910.0,14.988274698775744,1076970.0,13.8896630291279,1.0,33.0,72.0,1,1,1
1901700,8,6,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,4,0.5,4144830.0,15.237372573705857,518103.75,13.157932720875117,1.0,33.0,72.0,1,3,0
1901711,4,3,0,0.0,1500000.0,14.220976332738882,1.0,1.0,False,False,True,0.0,14.220976332738882,1,0.25,1807928.3333333333,14.407692733624677,451982.0833333333,13.0214000318603,1.0,33.0,72.0,1,1,1
1901800,4,4,0,1900000.0,2910000.0,14.883663982790228,1.0,1.0,False,False,True,0.0,14.883663982790228,2,0.5,377590.0,12.841566878223668,94397.5,11.45528046217684,1.0,33.0,72.0,1,4,4
1901811,5,3,0,50000.0,200000.0,12.206077645517674,1.0,1.0,False,False,True,0.0,12.206077645517674,1,0.2,3037653.333333333,14.926596174668036,607530.6666666667,13.317159579038591,1.0,33.0,72.0,1,1,1
1902000,1,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,860536.6666666666,13.665312666675916,860536.6666666666,13.665312666675916,1.0,33.0,72.0,1,0,3
1910100,8,6,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,4,0.5,5474665.0,15.515641827239774,684333.125,13.436201564175937,1.0,33.0,73.0,1,3,0
1910141,2,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2758501.6666666665,14.830198578403117,1379250.8333333333,14.137051760358617,1.0,33.0,73.0,1,0,3
1910200,8,7,0,0.0,0.0,0.0,1.0,0.8571428571428571,False,False,True,0.0,0.0,5,0.625,,,,,1.0,33.0,73.0,1,3,0
1910600,3,2,0,500000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,3033765.0,14.925315310009864,1011255.0,13.826703680588164,1.0,33.0,10.0,1,0,3
1910800,10,9,0,0.0,2500000.0,14.731801689838347,1.0,1.0,False,False,True,0.0,14.731801689838347,7,0.7,1090971.6666666667,13.902580211033598,109097.16666666669,11.600003367524762,1.0,33.0,73.0,1,4,4
1910900,6,6,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,4,0.6666666666666666,3812045.0,15.15367661083977,635340.8333333334,13.361918453242456,1.0,33.0,73.0,1,3,0
1910951,3,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,3289160.0,15.00614307502208,1096386.6666666667,13.907531394411588,1.0,33.0,73.0,1,0,3
1911000,18,14,2,0.0,0.0,0.0,1.0,1.0,False,False,True,0.1428571428571428,0.0,12,0.6666666666666666,13576096.666666666,16.423821279938284,754227.5925925926,13.53345077424211,1.0,33.0,73.0,1,3,0
1911100,7,7,0,200000.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,5,0.7142857142857143,2928546.6666666665,14.890017181199267,418363.8095238095,12.944109080938969,1.0,33.0,73.0,1,3,0
1911141,3,1,0,500000.0,1000000.0,13.815511557963774,1.0,1.0,False,False,True,0.0,13.815511557963774,0,0.0,5660485.833333333,15.549020459436882,1886828.611111111,14.450408524095211,1.0,33.0,72.0,1,1,1
1911151,1,1,0,300000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,4671886.666666667,15.357073759251367,4671886.666666667,15.357073759251367,1.0,33.0,73.0,1,0,3
1911152,1,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,6742860.0,15.723994873534204,6742860.0,15.723994873534204,1.0,32.0,73.0,1,0,3
1911221,3,3,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,1,0.3333333333333333,,,,,1.0,33.0,72.0,1,3,0
1911300,12,9,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,7,0.5833333333333334,3539351.6666666665,15.079454405865029,294945.9722222222,12.59455086398515,1.0,33.0,73.0,1,3,0
1911352,2,1,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,2556556.6666666665,14.75417225012894,1278278.3333333333,14.061025460719884,1.0,33.0,73.0,1,0,3
1911400,10,8,1,0.0,1000000.0,13.815511557963774,1.0,1.0,False,False,True,0.125,13.815511557963774,6,0.6,4369450.0,15.290147929889134,436945.0,12.9875648966483,1.0,33.0,73.0,1,4,4
1911500,3,2,0,0.0,0.0,0.0,1.0,1.0,False,False,True,0.0,0.0,0,0.0,901483.3333333334,13.711797943031169,300494.44444444444,12.613187872923833,1.0,33.0,73.0,1,0,3
