hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban
0272811,5,2,1,0.0,0.0,0.0,9.0,0.8,True,False,False,0.5,0.0,0,0.0,1641236.6666666667,14.310961189973295,328247.3333333334,12.701525714721333,1.0,13.0,10.0,1
0272831,4,2,0,0.0,100000.0,11.51293546492023,9.0,1.0,True,False,False,0.0,11.51293546492023,0,0.0,1189028.3333333333,13.988647845960138,297257.0833333333,12.602356007903499,1.0,13.0,10.0,1
0272832,4,3,0,100000.0,0.0,0.0,95.0,1.0,False,False,False,0.0,0.0,1,0.25,4550648.333333333,15.330780491367651,1137662.0833333333,13.944486789494121,2.0,13.0,10.0,0
0272841,1,1,0,100000.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,305448.3333333333,12.62953919550337,305448.3333333333,12.62953919550337,2.0,13.0,10.0,0
0272851,1,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,3154116.6666666665,14.964219352932457,3154116.6666666665,14.964219352932457,1.0,13.0,10.0,1
0272900,10,7,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,5,0.5,2042671.6666666667,14.529769639066956,204267.1666666667,12.227188952055483,1.0,13.0,10.0,1
0272941,4,2,0,50000.0,300000.0,12.611541086966115,9.0,1.0,True,False,False,0.0,12.611541086966115,0,0.0,4409780.0,15.299335586325991,1102445.0,13.913041905511761,1.0,13.0,10.0,1
0272942,3,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,5470720.0,15.514920975584035,1823573.3333333333,14.416309052498384,2.0,13.0,10.0,0
0273000,10,6,0,20000.0,400000.0,12.899222326086994,9.0,1.0,True,False,False,0.0,12.899222326086994,4,0.4,4313726.666666667,15.277312976137637,431372.6666666667,12.974729969503999,1.0,13.0,10.0,1
0273051,2,1,0,0.0,0.0,0.0,9.0,1.0,True,False,False,0.0,0.0,0,0.0,2013391.6666666667,14.515331751007325,1006695.8333333334,13.822185067121362,1.0,13.0,10.0,1
