hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0560700,056070008,3.0,1.0,15.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,18.0,1.0,0.0,150000.0,11.918397239722838,False,True,False,False,False,Java
0560700,056070010,16.0,1.0,36.0,1.0,1.0,2.0,7.0,0.0,2.0,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Java
0560700,056070011,16.0,3.0,27.0,1.0,1.0,60.0,1.0,0.0,2.0,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0560852,056085202,2.0,3.0,27.0,1.0,1.0,3.0,7.0,0.0,2.0,2.0,18.0,2.0,250000.0,0.0,0.0,False,False,True,False,False,Java
0560911,056090009,1.0,1.0,50.0,1.0,1.0,2.0,3.0,0.0,,2.0,18.0,1.0,0.0,200000.0,12.206077645517674,False,True,False,False,False,Java
0560911,056090004,2.0,3.0,39.0,1.0,2.0,2.0,7.0,0.0,,2.0,18.0,1.0,0.0,200000.0,12.206077645517674,False,False,True,False,False,Java
0560911,056090011,3.0,3.0,21.0,1.0,1.0,2.0,7.0,0.0,2.0,2.0,18.0,1.0,50000.0,0.0,0.0,False,False,True,False,False,Java
0560911,056091107,5.0,1.0,22.0,1.0,2.0,98.0,98.0,0.0,2.0,2.0,18.0,1.0,3700000.0,0.0,0.0,False,True,False,False,False,Java
0561141,056114102,2.0,3.0,27.0,1.0,1.0,2.0,4.0,0.0,,2.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0561241,056124103,1.0,3.0,39.0,1.0,1.0,60.0,7.0,0.0,,10.0,18.0,1.0,300000.0,2000000.0,14.508658238524095,False,False,True,False,False,Java
0561442,056144202,2.0,3.0,27.0,1.0,25.0,2.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Java
0561443,056144302,21.0,3.0,32.0,1.0,25.0,5.0,7.0,0.0,,2.0,18.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0561443,056144305,2.0,3.0,25.0,1.0,1.0,3.0,7.0,1.0,71.0,2.0,18.0,1.0,0.0,200000.0,12.206077645517674,True,False,True,False,True,Java
0561451,056145101,1.0,1.0,43.0,1.0,1.0,15.0,7.0,1.0,4.0,8.0,18.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Java
0561600,056160002,6.0,3.0,67.0,1.0,9.0,3.0,7.0,0.0,,2.0,18.0,1.0,1000000.0,0.0,0.0,False,False,True,False,False,Minang
0561600,056160004,14.0,3.0,40.0,1.0,9.0,5.0,7.0,0.0,,2.0,18.0,2.0,0.0,3000000.0,14.914123179965662,False,False,True,False,False,Minang
0561600,056160006,1.0,1.0,31.0,1.0,9.0,6.0,7.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Minang
0561600,056160012,2.0,3.0,27.0,1.0,1.0,5.0,7.0,1.0,98.0,2.0,18.0,1.0,0.0,0.0,0.0,True,False,True,False,True,Minang
0561800,056180002,1.0,3.0,59.0,1.0,9.0,73.0,0.0,0.0,,2.0,18.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0561800,056180003,3.0,1.0,34.0,1.0,9.0,61.0,1.0,1.0,71.0,2.0,18.0,1.0,0.0,0.0,0.0,True,True,False,True,False,Minang
0561800,056180004,3.0,3.0,32.0,1.0,9.0,61.0,7.0,0.0,,71.0,31.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0561800,056180005,3.0,3.0,27.0,1.0,9.0,61.0,7.0,0.0,,71.0,31.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Minang
0561800,056180007,13.0,3.0,23.0,1.0,9.0,60.0,7.0,0.0,,73.0,31.0,1.0,0.0,500000.0,13.122365377402328,False,False,True,False,False,Minang
0561800,056180009,8.0,3.0,55.0,1.0,9.0,2.0,4.0,1.0,71.0,2.0,18.0,1.0,0.0,50000.0,10.819798284210286,True,False,True,False,True,Minang
0561831,056183105,2.0,3.0,25.0,1.0,9.0,61.0,3.0,1.0,71.0,2.0,18.0,1.0,0.0,0.0,0.0,True,False,True,False,True,Minang
