hhid14,ethnic_label,n_adults,n_outmig_adults,nelm_d1_deployment,n_adults_in_ind,n_outmig_in_ind,n_male_out,n_female_out,D1_male,D1_female,D1_total_computed
0042641,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0042642,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0042700,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0042741,Batak,2,2,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0
0042800,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0042900,Batak,5,2,0.4,5.0,2.0,1.0,1.0,0.2,0.2,0.4
0042951,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0043022,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0050100,Batak,12,3,0.25,12.0,3.0,1.0,2.0,0.08333333333333333,0.16666666666666666,0.25
0050131,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0050300,Java,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0050341,Java,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0050400,Java,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0050441,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0050442,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0050500,Batak,3,1,0.3333333333333333,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0050600,Java,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0050641,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0050651,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0050700,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0050800,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0050900,Java,12,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0050941,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0050951,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0050952,Java,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0050953,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0051000,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0051041,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051100,Java,6,2,0.3333333333333333,6.0,2.0,2.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0051111,Java,3,1,0.3333333333333333,3.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
0051300,Java,12,1,0.0833333333333333,12.0,1.0,1.0,0.0,0.08333333333333333,0.0,0.08333333333333333
0051312,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0051341,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0051351,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051400,Java,8,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0051431,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051441,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051442,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051451,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0051500,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0051600,Java,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0051641,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0051642,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051651,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0051700,Batak,4,1,0.25,4.0,1.0,1.0,0.0,0.25,0.0,0.25
0051741,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0051800,Java,8,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0051851,Java,2,1,0.5,2.0,1.0,1.0,0.0,0.5,0.0,0.5
0051852,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0052000,Batak,8,1,0.125,8.0,1.0,1.0,0.0,0.125,0.0,0.125
0060100,Batak,4,1,0.25,4.0,1.0,0.0,1.0,0.0,0.25,0.25
0060200,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0060300,Java,7,1,0.1428571428571428,7.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285
0060341,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060342,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060400,Java,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0060411,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060431,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0060441,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060442,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0060600,Batak,8,4,0.5,8.0,4.0,2.0,2.0,0.25,0.25,0.5
0060651,Batak,0,0,,,,0.0,0.0,,,
0060700,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0060800,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0060841,Java,3,1,0.3333333333333333,3.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
0060842,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060900,Java,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0060941,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060942,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060951,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0061000,Java,6,1,0.1666666666666666,6.0,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666
0061041,Java,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0061051,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0061100,Java,9,4,0.4444444444444444,9.0,4.0,2.0,2.0,0.2222222222222222,0.2222222222222222,0.4444444444444444
0061131,Java,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0061141,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0061143,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0061200,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0061231,Java,2,1,0.5,2.0,1.0,1.0,0.0,0.5,0.0,0.5
0061251,Java,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0061252,Java,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0061300,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0061400,Batak,5,1,0.2,5.0,1.0,1.0,0.0,0.2,0.0,0.2
0061441,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0061442,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0061451,Batak,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
0061600,Java,4,1,0.25,4.0,1.0,1.0,0.0,0.25,0.0,0.25
0061741,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0061751,Java,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0061800,Batak,3,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0061900,Java,7,1,0.1428571428571428,7.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285
0061931,Java,2,1,0.5,2.0,1.0,1.0,0.0,0.5,0.0,0.5
0061951,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0062000,Java,6,3,0.5,6.0,3.0,1.0,2.0,0.16666666666666666,0.3333333333333333,0.5
